"Date","Games"
"2007-6-9","201"
"2007-6-10","201"
"2007-6-11","201"
"2007-6-12","201"
"2007-6-13","201"
"2007-6-14","201"
"2007-6-15","201"
"2007-6-16","201"
"2007-6-17","201"
"2007-6-18","201"
"2007-6-19","201"
"2007-6-20","201"
"2007-6-21","201"
"2007-6-22","201"
"2007-6-23","201"
"2007-6-24","201"
"2007-6-25","201"
"2007-6-26","201"
"2007-6-27","201"
"2007-6-28","201"
"2007-6-29","201"
"2007-6-30","201"
"2007-7-1","201"
"2007-7-2","201"
"2007-7-3","201"
"2007-7-4","201"
"2007-7-5","201"
"2007-7-6","201"
"2007-7-7","201"
"2007-7-8","201"
"2007-7-9","201"
"2007-7-10","201"
"2007-7-11","201"
"2007-7-12","201"
"2007-7-13","201"
"2007-7-14","201"
"2007-7-15","201"
"2007-7-16","201"
"2007-7-17","201"
"2007-7-18","201"
"2007-7-19","201"
"2007-7-20","201"
"2007-7-21","201"
"2007-7-22","201"
"2007-7-23","201"
"2007-7-24","201"
"2007-7-25","201"
"2007-7-26","201"
"2007-7-27","201"
"2007-7-28","201"
"2007-7-29","201"
"2007-7-30","201"
"2007-7-31","201"
"2007-8-1","201"
"2007-8-2","201"
"2007-8-3","201"
"2007-8-4","201"
"2007-8-5","201"
"2007-8-6","201"
"2007-8-7","201"
"2007-8-8","201"
"2007-8-9","201"
"2007-8-10","201"
"2007-8-11","201"
"2007-8-12","201"
"2007-8-13","201"
"2007-8-14","201"
"2007-8-15","201"
"2007-8-16","201"
"2007-8-17","201"
"2007-8-18","201"
"2007-8-19","201"
"2007-8-20","201"
"2007-8-21","201"
"2007-8-22","201"
"2007-8-23","201"
"2007-8-24","201"
"2007-8-25","201"
"2007-8-26","201"
"2007-8-27","201"
"2007-8-28","201"
"2007-8-29","201"
"2007-8-30","201"
"2007-8-31","201"
"2007-9-1","201"
"2007-9-2","201"
"2007-9-3","201"
"2007-9-4","201"
"2007-9-5","201"
"2007-9-6","201"
"2007-9-7","201"
"2007-9-8","201"
"2007-9-9","201"
"2007-9-10","201"
"2007-9-11","201"
"2007-9-12","201"
"2007-9-13","201"
"2007-9-14","201"
"2007-9-15","201"
"2007-9-16","201"
"2007-9-17","201"
"2007-9-18","201"
"2007-9-19","201"
"2007-9-20","201"
"2007-9-21","201"
"2007-9-22","201"
"2007-9-23","201"
"2007-9-24","201"
"2007-9-25","201"
"2007-9-26","201"
"2007-9-27","201"
"2007-9-28","201"
"2007-9-29","201"
"2007-9-30","201"
"2007-10-1","201"
"2007-10-2","201"
"2007-10-3","201"
"2007-10-4","201"
"2007-10-5","201"
"2007-10-6","201"
"2007-10-7","201"
"2007-10-8","201"
"2007-10-9","201"
"2007-10-10","201"
"2007-10-11","201"
"2007-10-12","201"
"2007-10-13","201"
"2007-10-14","201"
"2007-10-15","201"
"2007-10-16","201"
"2007-10-17","201"
"2007-10-18","201"
"2007-10-19","201"
"2007-10-20","201"
"2007-10-21","201"
"2007-10-22","201"
"2007-10-23","201"
"2007-10-24","201"
"2007-10-25","201"
"2007-10-26","201"
"2007-10-27","201"
"2007-10-28","201"
"2007-10-29","201"
"2007-10-30","201"
"2007-10-31","201"
"2007-11-1","201"
"2007-11-2","201"
"2007-11-3","201"
"2007-11-4","201"
"2007-11-5","201"
"2007-11-6","201"
"2007-11-7","201"
"2007-11-8","201"
"2007-11-9","201"
"2007-11-10","201"
"2007-11-11","201"
"2007-11-12","201"
"2007-11-13","201"
"2007-11-14","201"
"2007-11-15","201"
"2007-11-16","201"
"2007-11-17","201"
"2007-11-18","201"
"2007-11-19","201"
"2007-11-20","201"
"2007-11-21","201"
"2007-11-22","201"
"2007-11-23","201"
"2007-11-24","201"
"2007-11-25","201"
"2007-11-26","201"
"2007-11-27","201"
"2007-11-28","201"
"2007-11-29","201"
"2007-11-30","201"
"2007-12-1","201"
"2007-12-2","201"
"2007-12-3","201"
"2007-12-4","201"
"2007-12-5","201"
"2007-12-6","201"
"2007-12-7","201"
"2007-12-8","201"
"2007-12-9","201"
"2007-12-10","201"
"2007-12-11","201"
"2007-12-12","201"
"2007-12-13","201"
"2007-12-14","201"
"2007-12-15","201"
"2007-12-16","201"
"2007-12-17","201"
"2007-12-18","201"
"2007-12-19","201"
"2007-12-20","201"
"2007-12-21","201"
"2007-12-22","201"
"2007-12-23","201"
"2007-12-24","201"
"2007-12-25","201"
"2007-12-26","201"
"2007-12-27","201"
"2007-12-28","201"
"2007-12-29","201"
"2007-12-30","201"
"2007-12-31","201"
"2008-1-1","201"
"2008-1-2","201"
"2008-1-3","201"
"2008-1-4","201"
"2008-1-5","201"
"2008-1-6","201"
"2008-1-7","201"
"2008-1-8","201"
"2008-1-9","201"
"2008-1-10","201"
"2008-1-11","201"
"2008-1-12","201"
"2008-1-13","201"
"2008-1-14","201"
"2008-1-15","201"
"2008-1-16","201"
"2008-1-17","201"
"2008-1-18","201"
"2008-1-19","201"
"2008-1-20","201"
"2008-1-21","201"
"2008-1-22","201"
"2008-1-23","201"
"2008-1-24","201"
"2008-1-25","201"
"2008-1-26","201"
"2008-1-27","201"
"2008-1-28","201"
"2008-1-29","201"
"2008-1-30","201"
"2008-1-31","201"
"2008-2-1","201"
"2008-2-2","201"
"2008-2-3","201"
"2008-2-4","201"
"2008-2-5","201"
"2008-2-6","201"
"2008-2-7","201"
